English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
Herat,34.341944,62.203056,הראת,Herat,,AF-00011,,,,,
Hari River,34.65,66.716667,הרי רוד,Hari River,Harī Rōd,AF-00012,,,,,
"Vlorë, Albania",40.4660668,19.491356,אבילונה,"Vlorë, Albania",,AL-00011,,,,,
"Vlorë, Albania",40.4660668,19.491356,אוילונה,"Vlorë, Albania",,AL-00011,,,,,
"Lezhë, Albania",41.786073,19.6460758,אלישו,"Lezhë, Albania",,AL-00012,,,,,
"Nartë, Albania",40.499167,19.457222,נארטא,"Nartë, Albania",,AL-00013,,,,,
"Tashir, Armenia",41.1159648,44.285778,וואראנסאווקע,"Tashir, Armenia",,AM-00011,,,,,
Argentina,-38.416097,-63.616672,ארגאנטינא,Argentina,,AR-00000,,,,,
Argentina,-38.416097,-63.616672,ארגנטינא,Argentina,,AR-00000,,,,,
Argentina,-38.416097,-63.616672,ארגנטינה,Argentina,,AR-00000,,,,,
Argentina,-38.416097,-63.616672,ארגענטינא,Argentina,,AR-00000,,,,,
Buenos Aires,-34.6036844,-58.3815591,בואינוס איירעס,Buenos Aires,,AR-00001,,,,,
Buenos Aires,-34.6036844,-58.3815591,בונעס איירעס,Buenos Aires,,AR-00001,,,,,
Buenos Aires,-34.6036844,-58.3815591,בונעס אירעס,Buenos Aires,,AR-00001,,,,,
Buenos Aires,-34.6036844,-58.3815591,בוענאס איירעס,Buenos Aires,,AR-00001,,,,,
"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעס-וויללע,"Moisés Ville, Argentina",,AR-00011,,,,,
"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעסווילע,"Moisés Ville, Argentina",,AR-00011,,,,,
"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעסוילע,"Moisés Ville, Argentina",,AR-00011,,,,,
"Moisés Ville, Argentina",-30.7143054,-61.469815,קרית משה,"Moisés Ville, Argentina",,AR-00011,,,,,
Rio de la Plata,-35.1944557,-56.741207,פלאטא,Rio de la Plata,,AR-00012,,,,,
"Córdoba, Argentina",-31.416667,-64.183333,קארדובא,"Córdoba, Argentina",,AR-00013,,,,,
"Quilmes, Argentina",-34.716667,-58.266667,קילמעס,"Quilmes, Argentina",,AR-00014,,,,,
"Rosaria, Argentina",-32.9575,-60.639444,רוזאריא,"Rosaria, Argentina",,AR-00015,,,,,
Austria,47.516231,14.550072,אושטרייך,Austria,"Österreich , Austria , Ausztria , Avstriya , Estraykh , Autriche , Rakousko , Rakúsko , Austrija ",AT-00000,,,,,
Austria,47.516231,14.550072,אושטריך,Austria,"Österreich , Austria , Ausztria , Avstriya , Estraykh , Autriche , Rakousko , Rakúsko , Austrija ",AT-00000,,,,,
Austria,47.516231,14.550072,ארץ הדמים,Austria,"Österreich , Austria , Ausztria , Avstriya , Estraykh , Autriche , Rakousko , Rakúsko , Austrija ",AT-00000,,,,,
Austria,47.516231,14.550072,מדינת בני חת,Austria,"Österreich , Austria , Ausztria , Avstriya , Estraykh , Autriche , Rakousko , Rakúsko , Austrija ",AT-00000,,,,,
Austria,47.516231,14.550072,עסטרייך,Austria,"Österreich , Austria , Ausztria , Avstriya , Estraykh , Autriche , Rakousko , Rakúsko , Austrija ",AT-00000,,,,,
Vienna,48.2081743,16.3738189,ווידען,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וויין,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,ווין,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,ווינא,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וויעדן,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וויעדען,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וויעהן,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וויען,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
Vienna,48.2081743,16.3738189,וין,Vienna,"Wien , Vienna , Vienne , Vindobona , Videň , Viedeň , Bécs , Beč , Viena , Wiedeń , Vena , Viden' , Vin ",AT-00001,,,,,
